Time,Wave Probe 1 mm,Wave Probe 2 mm,Wave Probe 3 mm,Wave Probe 4 mm,Wave Probe 5 mm,Wave Probe 6 mm
Seconds,mm,mm,mm,mm,mm,mm
8.13,136.8763098,125.6106748,125.1603839,125.5689812,126.0109334,127.2700808
8.14,137.0764399,125.7941267,125.0769967,125.3688519,125.9775785,127.2534034
8.15,137.0347462,125.694062,125.1770613,125.5689812,125.9192075,127.3784842
8.16,136.9263423,125.7691105,125.2020775,125.485594,125.844159,127.295097
8.17,136.9596974,125.6440297,125.2104162,125.5022714,125.8775139,127.3534681
8.18,136.8512935,125.7857879,125.1937387,125.4188842,125.8858526,127.2200484
8.19,136.9180036,125.6106748,125.2187549,125.4439004,125.9358849,127.4368553
8.2,136.834616,125.5606425,125.2521098,125.5356263,125.9775785,127.2867583
8.21,136.8179385,125.6523684,125.2270936,125.4939327,125.994256,127.3284519
8.22,136.9263423,125.7607718,125.1520451,125.3521744,125.8858526,127.3117744
8.23,136.9930524,125.5106101,125.2437711,125.5523037,125.9609011,127.3367906
8.24,136.8929873,125.6106748,125.1437064,125.3855293,125.9358849,127.3534681
8.25,137.0097299,125.7190782,125.2270936,125.5939973,125.8608364,127.3451293
8.26,136.9180036,125.4939327,125.1437064,125.393868,125.9108688,127.2700808
8.27,136.9346811,125.5189488,125.2187549,125.5689812,125.9442237,127.3951617
8.28,136.9513586,125.543965,125.1854,125.5356263,126.0025947,127.1950323
8.29,136.8929873,125.6523684,125.2104162,125.5106101,125.9859173,127.3451293
8.3,136.9263423,125.5939973,125.1520451,125.4272229,125.9358849,127.2534034
8.31,136.9513586,125.5272876,125.0519805,125.4355616,125.9525624,127.3284519
8.32,137.0430849,125.6690458,125.2521098,125.4188842,125.844159,127.2450646
8.33,137.0931174,125.4772552,125.1437064,125.393868,125.90253,127.3117744
8.34,137.1348112,125.5022714,125.2104162,125.543965,125.9442237,127.2450646
8.35,137.0013911,125.6607071,125.1603839,125.543965,125.9442237,127.3701455
8.36,136.8929873,125.6690458,125.2270936,125.4772552,125.9358849,127.386823
8.37,136.834616,125.5356263,125.1103515,125.5773199,125.9692398,127.3451293
8.38,136.9263423,125.6273522,125.2104162,125.3771906,125.9692398,127.2450646
8.39,136.9180036,125.6440297,125.1186903,125.4439004,125.8941913,127.295097
8.4,136.9847136,125.6440297,125.2354323,125.4439004,125.8775139,127.3701455
8.41,136.9680361,125.6773846,125.1520451,125.3688519,125.90253,127.3618068
8.42,137.0681012,125.7440943,125.1937387,125.5523037,125.8941913,127.2534034
8.43,137.0347462,125.7357556,125.1687226,125.4772552,125.9859173,127.3201132
8.44,136.8179385,125.5689812,125.1937387,125.4355616,125.9192075,127.2367259
8.45,136.8596323,125.694062,125.2270936,125.4272229,125.9775785,127.2784195
8.46,136.8512935,125.8775139,125.1520451,125.4939327,125.9859173,127.3117744
8.47,136.9680361,125.8524977,125.2437711,125.5773199,125.9442237,127.3367906
8.48,137.0097299,125.8358203,125.0269643,125.4689165,125.90253,127.2283872
8.49,137.0847787,125.6106748,125.2604485,125.4522391,125.8274815,127.2450646
8.5,136.9680361,125.8608364,125.127029,125.5272876,125.9108688,127.203371
8.51,136.8846486,125.6523684,125.2521098,125.3271583,126.0025947,127.3117744
8.52,137.0264074,125.7941267,125.1437064,125.5689812,125.994256,127.2617421
8.53,136.9430198,125.6106748,125.2604485,125.4689165,126.0192722,127.2867583
8.54,136.8846486,125.5773199,125.1603839,125.5856586,126.0025947,127.2450646
